tahun,bulan,tempat_wisata,jumlah
2018,9,Museum Wayang,23299
2018,9,Museum Joang 45 dan Thamrin,1442
2018,9,Taman Arkeologi Onrust,4951
2018,9,Pelabuhan Sunda Kelapa,2594
2018,9,Kepulauan Seribu,48033
2018,9,PBB Setu babakan,33749
2018,9,Museum Prasasti,695
2018,9,Planetarium,11200
2018,9,Rumah si Pitung,3976
2018,1,Taman Impian Jaya Ancol,1506955
2018,1,Taman Mini Indonesia Indah,434508
2018,1,Taman Margasatwa Ragunan,482233
2018,1,Monumen Nasional,216941
2018,1,Museum Nasional,21604
2018,1,Museum Satria Mandala,1966
2018,1,Museum Sejarah Jakarta,82078
2018,1,Museum Tekstil,3700
2018,1,Museum Bahari,2468
2018,1,Museum Seni Rupa dan Keramik,21995
2018,1,Museum Wayang,38129
2018,1,Museum Joang 45 dan Thamrin,1473
2018,1,Taman Arkeologi Onrust,5174
2018,1,Pelabuhan Sunda Kelapa,3587
2018,1,Kepulauan Seribu,58788
2018,1,PBB Setu babakan,38167
2018,1,Museum Prasasti,734
2018,1,Planetarium,29230
2018,1,Rumah si Pitung,5156
2018,4,Taman Impian Jaya Ancol,1031219
2018,4,Taman Mini Indonesia Indah,49912
2018,4,Taman Margasatwa Ragunan,316583
2018,4,Monumen Nasional,144018
2018,4,Museum Nasional,27004
2018,4,Museum Satria Mandala,154
2018,4,Museum Sejarah Jakarta,6021
2018,4,Museum Tekstil,2942
2018,4,Museum Bahari,2707
2018,4,Museum Seni Rupa dan Keramik,14822
2018,4,Museum Wayang,30552
2018,4,Museum Joang 45 dan Thamrin,1891
2018,4,Taman Arkeologi Onrust,8418
2018,4,Pelabuhan Sunda Kelapa,4277
2018,4,Kepulauan Seribu,62434
2018,4,PBB Setu babakan,37249
2018,4,Museum Prasasti,690
2018,4,Planetarium,21285
2018,4,Rumah si Pitung,3998
2018,6,Taman Impian Jaya Ancol,1721013
2018,6,Taman Mini Indonesia Indah,604542
2018,6,Taman Margasatwa Ragunan,405761
2018,6,Monumen Nasional,205141
2018,6,Museum Nasional,32768
2018,6,Museum Satria Mandala,1654
2018,6,Museum Sejarah Jakarta,105126
2018,6,Museum Tekstil,2045
2018,6,Museum Bahari,1514
2018,6,Museum Seni Rupa dan Keramik,28612
2018,6,Museum Wayang,42911
2018,6,Museum Joang 45 dan Thamrin,854
2018,6,Taman Arkeologi Onrust,6352
2018,6,Pelabuhan Sunda Kelapa,6632
2018,6,Kepulauan Seribu,133595
2018,6,PBB Setu babakan,55723
2018,6,Museum Prasasti,858
2018,6,Planetarium,8811
2018,6,Rumah si Pitung,5095
2019,4,Taman Impian Jaya Ancol,845145
2019,4,Taman Mini Indonesia Indah,480513
2019,4,Taman Margasatwa Ragunan,450511
2019,4,Monumen Nasional,514216
2019,4,Museum Nasional,23112
2019,4,Museum Satria Mandala,1701
2019,4,Museum Sejarah Jakarta,57092
2019,4,Museum Tekstil,3639
2019,4,Museum Bahari,2540
2019,4,Museum Seni Rupa dan Keramik,13685
2019,4,Museum Wayang,28110
2019,4,Museum Joang 45 dan Thamrin,2812
2019,4,Taman Arkeologi Onrust,3672
2019,4,Pelabuhan Sunda Kelapa,1320
2019,4,Kepulauan Seribu,44637
2019,4,PBB Setu babakan,40674
2019,4,Museum Prasasti,1580
2019,4,Planetarium,59693
2019,4,Rumah si Pitung,4356
2020,12,Taman Impian Jaya Ancol,479272
2020,12,Taman Mini Indonesia Indah,105008
2020,12,Taman Margasatwa Ragunan,19012
2020,12,Monumen Nasional,0
2020,12,Museum Nasional,1418
2020,12,Museum Satria Mandala,0
2020,12,Museum Sejarah Jakarta,4083
2020,12,Museum Tekstil,203
2020,12,Museum Bahari,654
2020,12,Museum Seni Rupa dan Keramik,627
2020,12,Museum Wayang,1788
2020,12,Museum Joang 45,228
2020,12,Taman Arkeologi Onrust,1621
2020,12,Pelabuhan Sunda Kelapa,2296
2020,12,Kepulauan Seribu,22289
2020,12,PBB Setu babakan,9883
2020,12,Museum Prasasti,364
2020,12,Planetarium,0
2020,12,Rumah si Pitung,1238
2020,12,Kawasan Kota Tua,0
2018,10,Taman Impian Jaya Ancol,1643864
2018,10,Taman Mini Indonesia Indah,401598
2018,10,Taman Margasatwa Ragunan,334685
2018,10,Monumen Nasional,156648
2018,10,Museum Nasional,24103
2018,10,Museum Satria Mandala,305
2018,10,Museum Sejarah Jakarta,52503
2018,10,Museum Tekstil,4939
2018,10,Museum Bahari,2891
2018,10,Museum Seni Rupa dan Keramik,11628
2018,10,Museum Wayang,25865
2018,10,Museum Joang 45 dan Thamrin,1557
2018,10,Taman Arkeologi Onrust,4292
2018,10,Pelabuhan Sunda Kelapa,3946
2018,10,Kepulauan Seribu,39547
2018,10,PBB Setu babakan,28213
2018,10,Museum Prasasti,644
2018,10,Planetarium,17707
2018,10,Rumah si Pitung,2010
2020,8,Taman Impian Jaya Ancol,174988
2020,8,Taman Mini Indonesia Indah,134546
2020,8,Taman Margasatwa Ragunan,16570
2020,8,Monumen Nasional,0
2020,8,Museum Nasional,233
2020,8,Museum Satria Mandala,0
2020,8,Museum Sejarah Jakarta,1857
2020,8,Museum Tekstil,162
2020,8,Museum Bahari,887
2020,8,Museum Seni Rupa dan Keramik,321
2020,8,Museum Wayang,506
2020,8,Museum Joang 45,359
2020,8,Taman Arkeologi Onrust,4257
2020,8,Pelabuhan Sunda Kelapa,2535
2020,8,Kepulauan Seribu,37986
2020,8,PBB Setu babakan,21997
2020,8,Museum Prasasti,280
2020,8,Planetarium,0
2020,8,Rumah si Pitung,2597
2020,8,Kawasan Kota Tua,3386
2018,11,Taman Impian Jaya Ancol,1650221
2018,11,Taman Mini Indonesia Indah,403551
2018,11,Taman Margasatwa Ragunan,339574
2018,11,Monumen Nasional,117225
2018,11,Museum Nasional,23951
2018,11,Museum Satria Mandala,325
2018,11,Museum Sejarah Jakarta,51801
2018,11,Museum Tekstil,5001
2018,11,Museum Bahari,1942
2018,11,Museum Seni Rupa dan Keramik,8256
2018,11,Museum Wayang,20916
2018,11,Museum Joang 45 dan Thamrin,1597
2018,11,Taman Arkeologi Onrust,2496
2018,11,Pelabuhan Sunda Kelapa,4021
2018,11,Kepulauan Seribu,38389
2018,11,PBB Setu babakan,31870
2018,11,Museum Prasasti,715
2018,11,Planetarium,13390
2018,11,Rumah si Pitung,2090
